Code,StationName,HeldMale,HeldFemale,TotalHeld
KHI,"Jinnah International Airport (Karachi)",1850,320,2170
ISB,"Islamabad International Airport (Islamabad)",1600,280,1880
LHE,"Allama Iqbal International Airport (Lahore)",1450,250,1700
PEW,"Bacha Khan International Airport (Peshawar)",920,110,1030
UET,"Quetta International Airport (Quetta)",780,85,865
MUX,"Multan International Airport (Multan)",640,70,710
SKT,"Sialkot International Airport (Sialkot)",520,60,580
LYP,"Faisalabad International Airport (Faisalabad)",480,50,530
SKZ,"Sukkur Airport (Sukkur)",350,40,390
GWD,"Gwadar International Airport (Gwadar)",410,35,445
GIL,"Gilgit Airport (Gilgit)",220,25,245
KDU,"Skardu International Airport (Skardu)",260,30,290
BDN,"Talhar Airport (Badin)",180,20,200
HDD,"Hyderabad Airport (Hyderabad)",290,30,320
PBN,"Turbat Airport (Turbat)",230,20,250
PJG,"Panjgur Airport (Panjgur)",190,15,205
PAS,"Pasni Airport (Pasni)",170,15,185
WNS,"Nawabshah Airport (Nawabshah)",210,20,230
RYK,"Sheikh Zayed International Airport (Rahim Yar Khan)",310,30,340
DBA,"Dera Ghazi Khan Airport (D.G. Khan)",240,25,265
BHV,"Bahawalpur Airport (Bahawalpur)",280,30,310
ISU,"Saidu Sharif Airport (Swat)",190,15,205
CHB,"Chilas Airport (Chilas)",150,10,160
MFG,"Muzaffarabad Airport (Muzaffarabad)",160,15,175
RWP,"Dhamial Air Base (Rawalpindi)",320,35,355
JAG,"Jacobabad Air Base (Jacobabad)",250,20,270
KDD,"Khuzdar Airport (Khuzdar)",140,10,150
O99,"Moenjodaro Airport (Moenjodaro)",160,15,175
ZGZ,"Zhob Airport (Zhob)",130,10,140
DSK,"Dera Ismail Khan Airport (D.I. Khan)",210,20,230
